,domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,underscoreURL,subURl,clientURL,adminURL,serverURL,loginURL,dns,domainAge,domainEnd,iframe,forwarding,label
0,ervjeurv80.onedumb.com,31,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
1,rechargejio.lagoo.in,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,att-102401.weeblysite.com,34,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
3,amazon-dcvbnm.wikaba.com,33,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
4,airdrop.zskync.com,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
5,is.gd,35,1,0,1,0,0,2,1,0,0,0,0,1,1,1,0,1
6,fqvepostles.firebaseapp.com,36,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
7,cranialfacialrerlease.project100staging.com,60,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,ibjkxyxv.duckdns.org,29,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
9,lakesreek.ml,37,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
10,meta-business-case-bedc6.web.app,41,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
11,cf-ipfs.com,71,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
12,pocketcacd.co.jp.vnchol.top,58,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1
13,creditasjis.com,55,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1
14,cnfrmationsaccountfb-0192839182342353.work.gd,54,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
15,direct2.jp-bamk.japanpost.jp.zngnw.com,51,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1
16,dwsdmss.sendsmtp.com,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
17,infura-ipfs.io,86,3,1,0,1,0,2,0,0,0,0,0,1,1,1,0,1
18,644su-baaaa-aaaad-qe77q-cai.ic.fleek.co,48,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
19,humancentrictech.com,39,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1
20,trinityhealthcarebrookline.com,43,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
21,f749cf76-3011-452f-adc7-a540d05c74d1.id.repl.co,56,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
22,oewsmstc.info,89,2,1,1,0,0,2,0,0,0,1,0,0,0,1,1,1
23,carousell.funde.shop,57,2,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
24,inicio.ficohsaingresa.repl.co,38,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
25,nftstorage.link,86,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
26,info.dan.ske.dokument.34-237-124-147.cprapid.com,72,2,1,0,1,0,2,0,0,0,1,0,0,0,1,1,1
27,citizensbankpaymentverify.authorizeddns.net,68,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
28,defiappsprotocol.firebaseapp.com,39,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
29,0lx.2534536.xyz,40,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
30,43.159.48.238,463,3,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
31,mtalha21.github.io,47,1,1,0,0,0,3,0,0,0,0,0,1,1,1,0,1
32,dkbi.website,21,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
33,lt27.de,22,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
34,storage.googleapis.com,63,2,0,1,0,0,4,0,0,0,0,1,1,1,1,0,1
35,brooks-xsbdyugd.top,59,1,1,0,1,0,2,0,0,0,0,0,1,1,1,1,1
36,sign-yk0l80apc14ry8e3vqfrwjrmjdyvpj80ik115aan.website.yandexcloud.net,78,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1
37,meta-for-business-case-eb6fd.web.app,45,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
38,ae0n-bamk.co-jp.tbtmkko.com,64,3,1,0,1,0,2,1,0,0,0,0,1,1,1,1,1
39,amendesregulations.fr,30,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
40,reconfigurate.sytes.net,39,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
41,juriskiana1.web.app,28,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
42,dev-usgdfs.pantheonsite.io,35,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
43,william-thomashide.mykajabi.com,45,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
44,ipfs.eth.aragon.network,96,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
45,mainstream-detection.com,33,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
46,xn--panckswap-31a3g.com,33,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
47,dwqfergdfs.mefound.com,31,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
48,pkodp.pl,17,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
49,hazotech.com,23,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
50,evergreen-empty-cone.glitch.me,48,1,1,0,1,0,2,0,0,0,0,1,1,1,1,0,1
51,falling-base-4ffd.hgpuuhmyy.workers.dev,48,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
52,mydina-s-school.thinkific.com,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,srv190819.hoster-test.ru,45,2,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1
54,eqzhys4.duckdns.org,27,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
55,roundcube090010.firebaseapp.com,40,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
56,autoantaigouve.com,27,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
57,ebisaconfi.jimdosite.com,33,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
58,maroon-bird-leader.glitch.me,55,1,1,0,1,0,2,0,0,0,0,1,1,1,1,0,1
59,att-105910.weeblysite.com,34,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
60,honestjohnwade.com,32,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
61,seoservicesiox.firebaseapp.com,39,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
62,saiconsard.co.jp.ooppox.xyz,39,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
63,servicefbhelpmeta.web.app,34,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
64,connect.secure.wellsfargobank.app,42,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
65,dragarwaldentalclinic.com,34,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
66,u1965047.plsk.regruhosting.ru,41,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
67,ebanking-ch3-ubs-a3ab0.web.app,202,1,1,0,1,0,2,0,0,0,1,0,1,1,0,0,1
68,pub-6502dddebdc447ed9023277db681dd94.r2.dev,60,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1
69,gouv-amende.net,37,1,1,0,1,0,2,0,0,0,0,0,0,0,1,1,1
70,kingtogel.co,176,11,1,0,0,0,2,0,0,0,1,0,0,0,1,1,1
71,storageapi.fleek.one,83,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
72,bitbaink.web.app,30,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1
73,sicop1.webnode.es,26,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
74,e-club.xyz,19,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
75,uucjrqpixh.duckdns.org,31,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
76,metafactcheckers.com,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
77,kueronakayaeotn.co.jp.kuerocekayaoato.kbokna.top,60,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
78,eozkxidvq7mvjsb25m6w27allwfxwrrfrnkaftstg5mj7rzqq-ipfs-w3s-link.translate.goog,184,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
79,freebnbmining.com,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
80,irdawmdpzpwdutnxcvj08.z5.web.core.windows.net,54,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
81,139.59.69.59,42,3,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1
82,docs.google.com,113,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
83,lilliflynn.com,50,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
84,zapakuj-polska.cloud,37,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
85,s3.amazonaws.com,82,3,1,0,0,0,2,0,0,0,0,0,1,1,1,0,1
86,reparto-verifica.com,28,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
87,dev-accionvalidada.pantheonsite.io,43,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
88,aavestake.us,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
89,ba3j2baz.square.site,29,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
90,resettaportale-app.com,30,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1
91,bafybeicgvy4e3ruep76gpssmns5ibapqhkif5mhng542teqb7rtkcqa47a.ipfs.cf-ipfs.com,84,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
92,sites.google.com,130,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1
93,vrenuevr79.yourtrap.com,32,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
94,cancel229-coinbase.web.app,44,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
95,inp0st.9877896.xyz,44,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
96,wallet.callisto.orgdotorg.org,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
97,qdfsssf.fartit.com,26,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
98,authentification15.yolasite.com,40,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
99,proj-ac6e2.web.app,27,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
100,tsaritsyno-museum.ru,69,7,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
101,andesfitness.cl,37,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
102,jytjfdgds.dnset.com,28,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
103,eduyc.net,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
104,portfolio-metamask-wallet.com,36,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
105,realizesolucoes.consultaemmelhor.shop,61,2,1,0,0,0,2,0,0,0,1,0,0,0,1,1,1
106,bafybeie4ruzio7nyurxbes2dijfsis5lbcrw3wj5rcatq3rjhgz43kstym.ipfs.dweb.link,94,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
107,extension-webs.ddnss.org,75,4,1,0,1,0,2,0,0,0,0,0,1,1,1,1,1
108,hhmuah.wiki,20,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
109,vrwerv34.fartit.com,27,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
110,wicklessnetwork.repl.co,32,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
111,ringed-alluring-selenium.glitch.me,54,1,1,0,1,0,2,0,0,0,0,1,1,1,1,0,1
112,brunorenz-arte.cl,44,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
113,upgrade-att.godaddysites.com,37,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
114,urlz.fr,20,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
115,u32981963.ct.sendgrid.net,718,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
116,gateway.ipfs.io,88,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
117,vekosystems-ug.ru,61,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1
118,attloginemailcentre.brizy.site,39,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1
119,metasupport100023469341.web.app,40,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
120,gfiw0xsi9.duckdns.org,29,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
121,netfiix.it,19,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
122,homegaliciaonline.odoo.com,35,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
123,bafybeifax5eqv7gdlyhyialpeq77xa6nv7v52wejm3gyquusyn534m2eze.ipfs.infura-ipfs.io,88,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
124,huitianpay.com,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
125,bafybeibyrut7p5klxduxde4nhuokllpw53vivwgb5fntoqdtd4do2lkvxe.ipfs.cf-ipfs.com,84,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
126,meanmasqk-usa.godaddysites.com,39,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
127,objectstorage.us-phoenix-1.oraclecloud.com,113,6,1,0,1,0,3,0,0,0,1,0,0,0,1,0,1
128,agodabook.com,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
129,saiaonaard.co.jp.mkkyba.top,50,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1
130,facebook.byethost31.com,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
131,telegra.ph,28,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
132,bafybeihdpwgnainsqdp5qm5z3ooahsh64nnjs36mi3vtvpleknnxnspkii.ipfs.dweb.link,94,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
133,dimension-direction.dns05.com,38,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
134,radimaconsultores.com,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
135,sites.google.com,50,3,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1
136,fluent.bm,51,5,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1
137,business-help-0001767537.web.app,41,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
138,d1rect.smtb.jp.slovebaby.com,64,3,1,0,0,0,2,1,0,0,0,0,0,0,1,1,1
139,dev-pastranbebedortu.pantheonsite.io,55,1,1,0,1,0,2,0,0,0,0,0,1,1,1,0,1
140,ita3.godaddysites.com,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
141,airbogo.com,51,4,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
142,139.162.71.137,42,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1
143,gksschool.edu.bd,30,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
144,245432562294270.my.id,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
145,myblog-x83bgbbvit.live-website.com,48,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
146,info-americasns.yixvpt.top,52,2,1,0,1,0,2,0,0,0,1,0,1,1,1,1,1
147,wooded-stream-ravioli.glitch.me,50,1,1,0,1,0,2,0,0,0,0,1,1,1,1,0,1
148,fixedfloiat.us,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
149,alerta.marielarlhuehue.repl.co,39,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
150,hsildodj.builderallwppro.com,86,6,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
151,multistatus.net,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
152,app-accepsdata1212reporteds.lztbaounhi-dv13xkjj14gq.p.temp-site.link,95,1,0,0,1,0,2,0,0,0,0,0,1,1,1,1,1
153,dpdswa.vetrebackhelo.cf,46,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
154,t.co,23,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
155,portale-utente-info.162-0-216-30.cprapid.com,67,2,1,0,1,0,2,0,0,0,0,0,0,0,1,1,1
156,consulta-gratisonline.com,107,2,1,0,1,0,2,0,0,0,0,0,0,0,1,1,1
157,bafybeib5efm72dgkhwu3spceuyplhatx4vphk6jovmwuxe7mvxkxncvl34.ipfs.dweb.link,83,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
158,55c6fb4f-4bc7-48b0-92bb-4b3aa09fa680.id.repl.co,56,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
159,du4vv97.duckdns.org,27,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
160,odd-rain-5305.berkabolmo1791.workers.dev,49,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
161,oarwdawzon.duckdns.org,31,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
162,ubeaatseess.com.cq2023.top,38,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
163,84572476576347.846732.repl.co,37,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
164,kueronakayaeotn.co.jp.kuerocekayaocto.laitol.top,60,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
165,ollx.3526677.xyz,31,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
166,solicitacaobanqipessoal.shop,37,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
167,govmentirrs1.com,29,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
168,portal.bolcatec.com,31,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
169,economist-edge.qhigh.com,33,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
170,synchpnxtsxl05.firebaseapp.com,39,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
171,eki-net.chamiershop.com,32,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
172,gabihazut.co.il,35,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1
173,attcvb.weebly.com,26,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
174,web10733.web07.bero-webspace.de,53,2,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
175,cahceto.accesarsas.repl.co,35,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
176,jpostca.com,20,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
177,picayune-flint-minibus.glitch.me,48,1,0,0,1,0,2,0,0,0,0,1,1,1,1,0,1
178,worldstronglawfirm-1318439371.cos.na-ashburn.myqcloud.com,89,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1
179,pub-48d3a24bafe348799aa16e3fbd5ead78.r2.dev,63,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1
180,cheap.accountsex.online,32,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
181,hbythbsfda.jungleheart.com,35,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
182,gnmtc.com,46,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1
183,wecucom.org,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,jaces-co-jp.szhxbg.com.cn,38,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
185,tbtmuxc.com,20,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
186,kacprzak0.pl,25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
187,ssquareddigital.com,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
188,nftstorage.link,75,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
189,appleid-web.info,191,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
190,bafybeieh26t5y7biqakh2uiajk44io7viht3xf4tsspgeksf6u4hbmexry.ipfs.dweb.link,83,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
191,ubeaatsee.com.audacad.top,37,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
192,64j4zc.duckdns.org,26,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
193,v5c6ww5a.duckdns.org,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
194,unsteadywryinverse.us98769.repl.co,43,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
195,resgamolive-3nrdpkfxwa-tl.a.run.app,44,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
196,netflix-games.sfo2.digitaloceanspaces.com,66,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1
197,ingresoverifica.repl.co,32,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
198,s.id,18,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
199,questions.posytron.com,487,14,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
200,plostecle.web.app,26,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
201,outlookservis.com.tr,28,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
202,ghtresa.qpoe.com,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
203,systemfile.webador.co.uk,33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
204,sfr-esim-support.com,28,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
205,lukasz.kada.org.pl,52,2,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1
206,evrilogistics.com,45,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
207,wwwinfoview.zhangshangju.com,43,1,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1
208,wallawallaartclasses-1318334846.cos.na-toronto.myqcloud.com,93,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1
209,a.60b7ac265566e3da4341f765b2d2a73200f8f1db57b0b005a1afdc00.com,70,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
210,fir41109.firebaseapp.com,33,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
211,pub-0e377ab24fd344118368ae252716a899.r2.dev,62,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1
212,bio.site,28,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
213,online.forms.app,47,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
214,ubeaatsees.com.ay0123.top,37,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
215,att-yahoo-mail-101572.weeblysite.com,45,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
216,lhbkzu.jetos.com,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
217,cler-suisse.com,28,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
218,smpozzolo.it,31,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
219,facebooksecuritys.blogspot.com,38,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1
220,itsagoodgirl.com,58,6,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1
221,sct.kz,44,5,1,0,0,0,2,0,0,0,1,0,1,1,0,0,1
222,ds-metamessk.com,33,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
223,ol-x.7687023.xyz,42,3,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
224,mydfm4h.duckdns.org,28,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
225,meta-business-case-1a50c.firebaseapp.com,49,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1
226,feeceah.r.bh.d.sendibt3.com,301,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
227,fnd-inc.com,74,3,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1
228,aflacxvmlyr.com,24,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
229,ltaucardspontua06.z9.web.core.windows.net,50,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
230,msciwoj.waldemar.net.pl,59,2,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1
231,ipfs.fleek.co,86,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
232,witty-cyclic-chiller.glitch.me,49,1,1,0,1,0,2,0,0,0,0,1,1,1,1,0,1
233,ipfs.io,80,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
234,eupsqlxcskiulgjy-dot-r0nus-vill0ns-erangi-wiscu.ue.r.appspot.com,98,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1
235,asdasnn45asr.publicvm.com,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
236,dev-validaritau-py.pantheonsite.io,53,1,1,0,1,0,2,0,0,0,0,0,1,1,1,0,1
237,bafybeib6nrvhylo2lkratsk5i3yyp4j4wvtz2vskoqk4o2qrvumuywxzcq.ipfs.dweb.link,125,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
238,long.barawons.pl,49,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
239,kabootarr.com,54,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
240,coinpad.netlify.app,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
241,euuomdrtk.web.app,26,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1
242,steamcommunitypubg2.asia,33,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
243,antai-amande-gouv.info,31,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
244,ahn16o5bk.duckdns.org,29,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
245,bafybeie4v4wv3f2z2hkae4bds76fujzuo7tlel5lewgij2ejndhpapumky.ipfs.infura-ipfs.io,88,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
246,ipfs.io,87,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
247,4535.weebly.com,24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
248,grtesdfad.onedumb.com,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
249,pancakeswapfinance.godaddysites.com,44,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
250,login-maile-a86a.query7813.workers.dev,47,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1
251,verifica.18-233-164-39.cprapid.com,46,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
